id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Mukuro Kavallini@ vaabbc@ 1992-7-10
2@ Yuki Albarn@ mmuaiexn@ 1991-4-2@ 1
3@ Mai Suberbia@ mlpccqd@ 1983-8-28@ 2
4@ Yui Aron@ vmtxanyi@ 1971-3-28@ 3
5@ Yuki Suberbia@ zictyx@ 1992-8-17@ 4
6@ Yuki Rokudo@ oaafwx@ 1991-3-25@ 5
7@ Kioko Sawada@ zrcqvc@ 1977-10-27@ 6
8@ Mukuro Death@ iceab@ 1984-1-14@ 7
9@ Yuki Uchiha@ kwgiklb@ 1989-2-27@ 8
10@ Soul Suberbia@ zouvpj@ 1977-11-25@ 9
11@ Mukuro Haruno@ yjtcfph@ 1976-8-8@ 10
12@ Belfegor Udzumaki@ ghcc@ 1998-10-22@ 11
13@ Yui Rokudo@ oddm@ 1974-8-15@ 12
14@ Yui Haruno@ ezgnm@ 1991-11-1@ 13
15@ Yuki Kavallini@ qvkh@ 2000-3-7@ 14
16@ Kioko Udzumaki@ ihcb@ 1979-2-20@ 15
17@ Fran Rokudo@ byi@ 1986-9-15@ 16
18@ Ponio Udzumaki@ yphvqhgz@ 1985-2-19@ 17
19@ Maka Kavallini@ kjttue@ 1970-8-15@ 18
20@ Mai Death@ kkl@ 1974-7-23@ 19
21@ Soul Sawada@ ytxf@ 1979-3-27@ 20
22@ Mai Sawada@ nxmzzh@ 1970-11-20@ 21
23@ Kioko Haruno@ torh@ 1976-2-24@ 22
24@ Mukuro Uchiha@ kuf@ 1973-6-8@ 23
25@ Yui Albarn@ dwadg@ 1975-4-6@ 24
26@ Soul Albarn@ cjl@ 1991-12-20@ 25
27@ Xanxas Haruno@ ago@ 1995-11-6@ 26
28@ Yui Kavallini@ utiba@ 1977-8-15@ 27
29@ Ponio Aron@ tkvmln@ 1970-4-22@ 28
30@ Yuki Death@ vveca@ 1991-11-5@ 29
31@ Fran Aron@ hadcsb@ 1998-6-23@ 30
32@ Yui Stein@ iuvu@ 1992-9-10@ 31
33@ Mai Suberbia@ kxfhu@ 1988-12-27@ 32
34@ Mukuro Aron@ okdaz@ 1971-5-2@ 33
35@ Belfegor Suberbia@ ffeczg@ 1996-7-12@ 34
36@ Fran Rokudo@ amddb@ 1987-11-16@ 35
37@ Soul Suberbia@ vok@ 1999-7-15@ 36
38@ Tsunaeshi Uchiha@ zuttsn@ 1994-10-13@ 37
39@ Yuki Stein@ nbpqe@ 1975-2-1@ 38
40@ Ponio Sawada@ iku@ 1985-7-22@ 39
41@ Xanxas Uchiha@ apdxjdbc@ 1981-5-10@ 40
42@ Kioko Kavallini@ egftiw@ 1980-7-16@ 41
43@ Kioko Death@ tqfdlwm@ 1997-5-17@ 42
44@ Yuki Stein@ bbc@ 1985-3-13@ 43
45@ Ponio Kavallini@ volncoj@ 1995-4-27@ 44
46@ Xanxas Death@ meej@ 1990-5-5@ 45
47@ Skualo Udzumaki@ ivtrdl@ 1981-11-16@ 46
48@ Yuki Death@ cqinkq@ 1997-6-8@ 47
49@ Skualo Aron@ wcotot@ 1985-3-9@ 48
50@ Yuki Albarn@ ypdtfnd@ 1978-10-19@ 49
