id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Belfegor Rokudo@ wopx@ 1984-9-25
2@ Maka Kavallini@ wzq@ 1980-1-5@ 1
3@ Belfegor Kavallini@ vvau@ 1983-8-2@ 2
4@ Skualo Death@ sohhnri@ 1995-3-6@ 3
5@ Tsunaeshi Aron@ urna@ 1984-7-3@ 4
6@ Tsunaeshi Albarn@ jpj@ 1978-2-9@ 5
7@ Belfegor Haruno@ nkwb@ 1979-10-25@ 6
8@ Xanxas Suberbia@ gumfgjl@ 1989-11-2@ 7
9@ Xanxas Aron@ ktbcv@ 1997-1-9@ 8
10@ Maka Udzumaki@ cthy@ 1984-10-9@ 9
11@ Fran Stein@ tuottxh@ 1994-12-13@ 10
12@ Fran Rokudo@ wbhqpze@ 1976-11-1@ 11
13@ Yuki Haruno@ saelh@ 1978-1-9@ 12
14@ Tsunaeshi Albarn@ sec@ 1974-2-24@ 13
15@ Kioko Death@ qcggupwv@ 1976-4-22@ 14
16@ Maka Udzumaki@ mumoz@ 1974-6-14@ 15
17@ Mukuro Sawada@ tojr@ 2000-1-21@ 16
18@ Maka Albarn@ zxreb@ 1991-1-24@ 17
19@ Fran Haruno@ gwdnkhna@ 1988-3-25@ 18
20@ Maka Haruno@ lzlf@ 1997-4-15@ 19
21@ Yuki Stein@ ncivck@ 1979-3-2@ 20
22@ Skualo Suberbia@ lsz@ 1971-1-11@ 21
23@ Yui Aron@ abk@ 1989-7-11@ 22
24@ Yui Udzumaki@ nxgn@ 1985-7-28@ 23
25@ Mukuro Kavallini@ fau@ 1994-8-24@ 24
26@ Fran Death@ mbrwtus@ 1982-8-21@ 25
27@ Kioko Stein@ pmvfuia@ 1972-1-21@ 26
28@ Ponio Death@ uubnmejx@ 1996-11-9@ 27
29@ Maka Uchiha@ jaszer@ 1974-10-10@ 28
30@ Xanxas Suberbia@ lwr@ 1991-11-21@ 29
31@ Soul Suberbia@ qoxks@ 1994-11-14@ 30
32@ Fran Stein@ xgicq@ 1993-10-13@ 31
33@ Yui Death@ kdpvvakr@ 1999-9-8@ 32
34@ Yui Kavallini@ yexvnsa@ 1978-4-22@ 33
35@ Belfegor Albarn@ cshe@ 1984-10-26@ 34
36@ Xanxas Kavallini@ jkd@ 1999-12-3@ 35
37@ Mukuro Udzumaki@ lciidh@ 1986-6-8@ 36
38@ Yui Suberbia@ shipide@ 1983-3-15@ 37
39@ Ponio Suberbia@ nbase@ 1982-1-5@ 38
40@ Tsunaeshi Uchiha@ offes@ 2000-8-5@ 39
41@ Soul Uchiha@ vepbvn@ 1998-3-26@ 40
42@ Soul Sawada@ sgurju@ 1989-6-11@ 41
43@ Tsunaeshi Death@ dmg@ 1980-10-23@ 42
44@ Maka Uchiha@ ajrkzc@ 2000-2-15@ 43
45@ Tsunaeshi Death@ bpdwko@ 1996-1-17@ 44
46@ Skualo Stein@ xvqwfrx@ 1998-12-7@ 45
47@ Tsunaeshi Udzumaki@ uvxewyr@ 1997-8-4@ 46
48@ Mai Death@ hnmikkwc@ 1998-7-18@ 47
49@ Maka Rokudo@ bqvbad@ 1992-8-3@ 48
50@ Xanxas Albarn@ rak@ 1984-7-4@ 49
51@ Xanxas Uchiha@ pitbq@ 1975-11-11@ 50
52@ Mukuro Kavallini@ bvhgq@ 1988-6-21@ 51
53@ Kioko Kavallini@ dxdsfl@ 1991-5-20@ 52
54@ Tsunaeshi Albarn@ tocyk@ 1994-1-1@ 53
55@ Tsunaeshi Kavallini@ ffddazeb@ 1973-11-5@ 54
