id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Xanxas Albarn@ oxib@ 1976-11-7
2@ Yui Stein@ uhsfiq@ 1984-6-17@ 1
3@ Ponio Albarn@ vpfpbdq@ 1970-5-14@ 2
4@ Maka Kavallini@ xcdtxl@ 1995-2-8@ 3
5@ Mukuro Rokudo@ bpxdjzf@ 1975-2-4@ 4
6@ Xanxas Suberbia@ lavuof@ 1987-2-3@ 5
7@ Soul Sawada@ iiw@ 1979-9-23@ 6
8@ Skualo Uchiha@ lsv@ 1988-8-19@ 7
9@ Kioko Udzumaki@ wrulnnsv@ 1984-8-24@ 8
10@ Soul Aron@ yysneqj@ 1995-9-13@ 9
11@ Kioko Albarn@ cifrfn@ 1986-8-27@ 10
12@ Kioko Death@ mfrd@ 1998-1-5@ 11
13@ Kioko Death@ lhzk@ 1981-9-19@ 12
14@ Skualo Death@ cradr@ 1985-3-10@ 13
15@ Mai Suberbia@ rtygv@ 1976-6-14@ 14
16@ Yuki Death@ lfacgs@ 1994-8-8@ 15
17@ Kioko Kavallini@ rlp@ 1980-5-3@ 16
18@ Fran Death@ qfdyxk@ 1995-7-9@ 17
19@ Tsunaeshi Death@ cvk@ 1995-2-14@ 18
20@ Skualo Uchiha@ svyscqo@ 1977-12-23@ 19
21@ Skualo Kavallini@ wzcsju@ 1980-5-23@ 20
22@ Maka Kavallini@ npens@ 1984-10-12@ 21
23@ Kioko Haruno@ hgqq@ 1980-5-14@ 22
24@ Yuki Kavallini@ gpef@ 1974-2-10@ 23
25@ Yui Stein@ ruesxpa@ 1972-2-16@ 24
26@ Yuki Sawada@ fkqpvuk@ 1977-4-13@ 25
27@ Fran Albarn@ fbltk@ 1997-3-21@ 26
28@ Fran Uchiha@ yhvdqxf@ 1980-6-9@ 27
29@ Maka Albarn@ nofp@ 2000-11-9@ 28
30@ Tsunaeshi Sawada@ cvkqlz@ 1993-5-9@ 29
31@ Yui Udzumaki@ pfybumtr@ 1992-9-8@ 30
32@ Yuki Aron@ euxvyqbh@ 1990-5-5@ 31
33@ Mai Sawada@ rcsg@ 1974-2-9@ 32
34@ Yuki Sawada@ yivmmmpf@ 1991-11-26@ 33
35@ Ponio Uchiha@ gjzoa@ 1984-12-11@ 34
36@ Tsunaeshi Kavallini@ itgwsqp@ 1986-7-24@ 35
37@ Xanxas Udzumaki@ awyk@ 1996-1-3@ 36
38@ Kioko Sawada@ ouc@ 1970-2-10@ 37
39@ Yuki Albarn@ dxbhkhn@ 1989-9-15@ 38
40@ Yui Rokudo@ uqqcgq@ 1988-2-27@ 39
41@ Tsunaeshi Albarn@ ihnhculr@ 1972-6-24@ 40
42@ Mukuro Death@ jskrs@ 1991-2-21@ 41
43@ Maka Albarn@ mjg@ 1979-4-28@ 42
44@ Mai Rokudo@ ofr@ 1976-8-2@ 43
45@ Tsunaeshi Uchiha@ exijvwhj@ 1983-4-6@ 44
46@ Xanxas Stein@ uymgyfz@ 1975-12-19@ 45
47@ Soul Death@ qkafavxa@ 1991-3-7@ 46
48@ Ponio Death@ cay@ 1986-1-6@ 47
49@ Ponio Rokudo@ owyqlyr@ 1980-10-7@ 48
50@ Yuki Aron@ zlqtx@ 1975-7-7@ 49
51@ Tsunaeshi Uchiha@ uel@ 1978-6-13@ 50
52@ Maka Stein@ wkpci@ 1985-7-17@ 51
53@ Fran Haruno@ yig@ 1975-7-4@ 52
54@ Fran Rokudo@ ghxy@ 1998-7-22@ 53
55@ Belfegor Suberbia@ aysbe@ 1999-7-20@ 54
56@ Mai Udzumaki@ leo@ 1983-5-18@ 55
57@ Fran Rokudo@ biagryxb@ 1979-2-28@ 56
58@ Belfegor Albarn@ utrp@ 1993-11-22@ 57
59@ Soul Aron@ zprzjia@ 1980-3-5@ 58
60@ Kioko Rokudo@ kdj@ 1975-3-27@ 59
61@ Ponio Sawada@ txgqsdhg@ 1992-6-5@ 60
62@ Yuki Sawada@ wpb@ 1991-11-14@ 61
63@ Maka Udzumaki@ wbhoiiu@ 2000-3-10@ 62
64@ Yuki Sawada@ zcjjmv@ 1983-11-26@ 63
65@ Mai Albarn@ nbszxazm@ 1984-6-12@ 64
66@ Ponio Stein@ gqsshuw@ 1989-6-11@ 65
67@ Fran Sawada@ yzpznr@ 1975-10-2@ 66
68@ Mukuro Aron@ bchoo@ 1992-5-27@ 67
69@ Mukuro Sawada@ qjshgbrh@ 1971-3-10@ 68
70@ Maka Uchiha@ qjthvm@ 1979-10-17@ 69
71@ Skualo Kavallini@ nrbi@ 1996-5-28@ 70
72@ Yui Rokudo@ ynnonlu@ 1989-10-22@ 71
73@ Kioko Aron@ hkppa@ 1993-1-6@ 72
74@ Maka Rokudo@ skegg@ 1983-9-2@ 73
75@ Xanxas Albarn@ mpudxee@ 1996-11-22@ 74
76@ Maka Suberbia@ bpq@ 1991-9-16@ 75
77@ Yui Sawada@ nvc@ 1976-9-1@ 76
78@ Yuki Udzumaki@ acwf@ 1975-9-23@ 77
79@ Mai Kavallini@ seamzht@ 1991-3-10@ 78
80@ Kioko Albarn@ ozllmz@ 1989-11-12@ 79
81@ Mukuro Albarn@ fgffb@ 1990-11-11@ 80
82@ Xanxas Kavallini@ ktpl@ 1983-10-25@ 81
83@ Mukuro Sawada@ ugqzw@ 1995-7-22@ 82
84@ Yui Uchiha@ slbb@ 1980-10-6@ 83
85@ Mukuro Albarn@ ytwwkn@ 1974-7-18@ 84
86@ Xanxas Uchiha@ qnnlidjb@ 1970-11-17@ 85
87@ Belfegor Stein@ zco@ 1982-11-6@ 86
88@ Mai Albarn@ zhciapw@ 1973-4-23@ 87
89@ Skualo Albarn@ nayn@ 2000-12-28@ 88
90@ Mukuro Stein@ ttjhhq@ 1977-4-2@ 89
91@ Belfegor Haruno@ fxctbs@ 1972-3-25@ 90
92@ Fran Suberbia@ kvad@ 1985-7-10@ 91
93@ Maka Aron@ rggwhi@ 1979-8-24@ 92
94@ Ponio Death@ xjxm@ 1996-12-5@ 93
95@ Tsunaeshi Udzumaki@ ndiyz@ 1991-12-7@ 94
96@ Skualo Stein@ fhxjb@ 1992-12-6@ 95
97@ Skualo Suberbia@ umqo@ 1998-12-14@ 96
98@ Ponio Rokudo@ sztvgaaf@ 1977-10-4@ 97
99@ Mai Sawada@ alivfmg@ 1974-6-24@ 98
100@ Mai Kavallini@ nkiwxs@ 1985-12-14@ 99
