id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Soul Suberbia@ puoj@ 1984-4-11
2@ Yuki Albarn@ pwwmibyi@ 1988-7-3@ 1
3@ Ponio Albarn@ qjhwxvnv@ 1997-5-16@ 2
4@ Fran Haruno@ lfsypi@ 1993-3-13@ 3
5@ Tsunaeshi Sawada@ teu@ 1997-10-21@ 4
6@ Mai Rokudo@ fcu@ 1977-11-7@ 5
7@ Maka Stein@ xxfl@ 1994-3-14@ 6
8@ Fran Rokudo@ icfcxxhq@ 1994-7-28@ 7
9@ Mai Aron@ hbqc@ 1976-11-13@ 8
10@ Mukuro Rokudo@ rkr@ 1989-2-10@ 9
11@ Soul Uchiha@ qfhmh@ 1996-1-4@ 10
12@ Ponio Death@ izluq@ 1992-9-2@ 11
13@ Kioko Albarn@ guq@ 1971-2-2@ 12
14@ Fran Stein@ nqs@ 1992-6-26@ 13
15@ Skualo Stein@ dmly@ 1971-8-2@ 14
16@ Mai Udzumaki@ wvzdetj@ 2000-10-20@ 15
17@ Belfegor Udzumaki@ zfwtsq@ 1997-1-20@ 16
18@ Tsunaeshi Albarn@ qqy@ 1974-12-15@ 17
19@ Yuki Suberbia@ wftgc@ 1993-10-13@ 18
20@ Mai Udzumaki@ khz@ 1970-7-18@ 19
21@ Maka Aron@ egohmh@ 1973-8-1@ 20
22@ Ponio Udzumaki@ jreiq@ 1976-5-20@ 21
23@ Belfegor Suberbia@ ahy@ 1982-5-11@ 22
24@ Mai Udzumaki@ drfleg@ 2000-8-21@ 23
25@ Skualo Haruno@ kfp@ 1997-12-12@ 24
26@ Mukuro Rokudo@ gacyiaw@ 1990-2-6@ 25
27@ Yuki Rokudo@ tctar@ 1987-10-10@ 26
28@ Fran Haruno@ xsaxdy@ 1978-1-21@ 27
29@ Yuki Kavallini@ eigvts@ 1983-9-18@ 28
30@ Xanxas Death@ rotk@ 1984-10-24@ 29
31@ Yuki Uchiha@ swhbw@ 1971-1-16@ 30
32@ Mai Haruno@ wqk@ 1981-7-9@ 31
33@ Tsunaeshi Aron@ zdk@ 1973-3-15@ 32
34@ Maka Rokudo@ aue@ 1981-1-9@ 33
35@ Tsunaeshi Uchiha@ hngn@ 1980-11-22@ 34
36@ Yuki Stein@ mtyhzwn@ 1999-10-17@ 35
37@ Kioko Rokudo@ izzjiu@ 1990-10-22@ 36
38@ Belfegor Suberbia@ khrfnlmv@ 1978-4-7@ 37
39@ Mai Kavallini@ mir@ 1975-7-14@ 38
40@ Xanxas Death@ uwf@ 1982-11-15@ 39
41@ Ponio Sawada@ ptyqgzt@ 1981-9-7@ 40
42@ Mukuro Suberbia@ hcpkquf@ 1979-10-19@ 41
43@ Belfegor Suberbia@ jqqap@ 1984-6-4@ 42
44@ Yuki Suberbia@ uynikqv@ 1974-9-16@ 43
45@ Fran Udzumaki@ hdp@ 1971-12-8@ 44
46@ Skualo Sawada@ zhfhyo@ 1979-6-10@ 45
47@ Soul Suberbia@ sfofe@ 1991-11-9@ 46
48@ Tsunaeshi Uchiha@ awetjig@ 1994-2-3@ 47
49@ Fran Aron@ ycvwif@ 1974-1-24@ 48
50@ Ponio Haruno@ wsuyc@ 1994-7-15@ 49
51@ Soul Death@ xhxlsb@ 1977-1-26@ 50
52@ Maka Kavallini@ ska@ 1997-3-13@ 51
53@ Mukuro Suberbia@ ztw@ 1978-8-9@ 52
54@ Soul Aron@ jlwica@ 1997-4-28@ 53
55@ Mai Uchiha@ hhe@ 1980-1-15@ 54
56@ Mukuro Aron@ vckyj@ 1984-1-19@ 55
